datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,plus_di,wma1,wma2
2021-06-11,42.93,46.26,42.76,45.68,85733900,46.77433,38.76852,30.76272,39.53365,40.88871,38.84367
2021-06-14,45.95,47.25,45.58,46.55,65288400,47.80308,39.50962,31.21615,41.2954,41.63024,39.24687
2021-06-15,46.21,46.38,45.04,45.15,44755600,48.27878,40.0468,31.81481,37.85971,42.1759,39.56901
2021-06-16,44.23,45.13,43.77,45.02,47381500,48.5787,40.52043,32.46217,34.8764,42.65519,39.87461
2021-06-17,45.05,47.76,44.86,47.36,64895500,49.06751,41.17182,33.27613,43.64113,43.30576,40.28449
2021-06-18,47.68,48.37,46.59,46.91,90778400,49.31568,41.71832,34.12095,42.72434,43.84729,40.6621
2021-06-21,46.55,46.99,45.07,46.51,44475700,49.1289,42.17467,35.22043,38.1906,44.29081,41.01124
2021-06-22,45.86,46.55,43.81,44.1,61387300,48.64622,42.35803,36.06984,32.63135,44.44552,41.23621
2021-06-23,44.97,45.98,44.61,45.41,39493500,48.18508,42.64869,37.11231,29.33518,44.6859,41.52327
2021-06-24,45.91,46.59,45.24,45.46,37680700,47.88536,42.91644,37.94752,30.531,44.88657,41.80765
2021-06-25,45.78,45.94,44.88,45.07,32605400,47.59408,43.12154,38.64899,28.62343,45.01343,42.06779
2021-06-28,45.72,49.65,45.55,49.4,90202800,48.04226,43.71949,39.39672,40.82587,45.52333,42.53174
2021-06-29,49.15,50.61,48.55,50.34,64800100,49.21441,44.35001,39.48562,41.43493,46.07143,43.02989
2021-06-30,50.58,53.84,50.55,53.2,92031100,50.91859,45.19287,39.46715,49.96479,46.85381,43.65438
2021-07-01,54.77,55.13,50.27,50.9,124253000,51.48409,45.73641,39.98872,45.10174,47.35981,44.14805
2021-07-02,51.26,51.47,48.53,50.4,78631100,51.89029,46.18056,40.47083,39.51771,47.77057,44.60124
2021-07-06,49.4,51.74,49.18,50.29,67705500,52.35294,46.57193,40.79093,36.38409,48.13057,45.03234
2021-07-07,50.2,50.55,45.75,46.04,85812800,52.11898,46.52127,40.92357,29.6249,48.05433,45.23984
2021-07-08,43.86,46.26,42.73,45.6,93774800,51.73029,46.43353,41.13678,25.6782,47.92438,45.4116
2021-07-09,46.71,47.01,44.58,45.53,64622800,51.31703,46.34748,41.37793,26.16322,47.77414,45.56685
2021-07-12,45.97,46.82,44.6,46.34,54668300,51.28294,46.34677,41.4106,23.86892,47.68786,45.74717
2021-07-13,46.2,46.91,44.93,44.96,44689100,51.24558,46.2147,41.18382,22.30618,47.467,45.84173
2021-07-14,44.84,45.17,42.68,43.05,56805800,51.19243,45.9133,40.63416,20.01603,47.07181,45.82905
2021-07-15,43.26,44.77,42.68,43.68,55860400,51.11561,45.7006,40.28559,18.24702,46.74662,45.83583
2021-07-16,43.85,44.4,42.4,42.8,49929500,51.13983,45.42435,39.70888,16.66173,46.344,45.78811
2021-07-19,41.49,43.67,40.48,43.35,65290100,51.13588,45.2268,39.31771,14.41458,46.01548,45.75583
2021-07-20,43.6,44.41,42.43,44.17,37932300,51.13131,45.12615,39.12098,16.39069,45.782,45.75255
2021-07-21,44.1,47.38,44.0,46.77,59851700,51.18597,45.28271,39.37945,26.5298,45.80729,45.86377
2021-07-22,46.96,47.38,45.47,46.07,38936400,51.24046,45.35769,39.47491,24.33534,45.75319,45.92757
2021-07-23,43.67,44.5,42.5,43.99,49559100,51.20486,45.22743,39.25,20.72977,45.49786,45.87772
2021-07-26,42.67,44.88,41.93,43.17,54759200,51.16145,45.03148,38.90152,18.22021,45.17143,45.78027
2021-07-27,42.44,43.3,38.66,39.36,102714000,51.20643,44.49134,37.77625,15.00574,44.49119,45.49177
